:START_ID,:END_ID,:TYPE,index,cardinality
InsuranceTerms_696b031073e7,InsurancePlan_83b2b97326ea,available_plans,0,one-to-many
InsuranceTerms_696b031073e7,InsurancePlan_3bc6b85bacd5,available_plans,1,one-to-many
InsuranceTerms_696b031073e7,InsurancePlan_10bf85b8f6a2,available_plans,2,one-to-many
InsuranceTerms_696b031073e7,InsurancePlan_691398387dc8,available_plans,3,one-to-many
InsurancePlan_83b2b97326ea,Guarantee_56f71907a592,guarantees,0,one-to-many
InsurancePlan_83b2b97326ea,Guarantee_bdf21c00318d,guarantees,1,one-to-many
InsurancePlan_83b2b97326ea,Guarantee_845e59d360a1,guarantees,2,one-to-many
InsurancePlan_83b2b97326ea,Guarantee_ed3b24823928,guarantees,3,one-to-many
InsurancePlan_83b2b97326ea,Guarantee_b2161845103e,guarantees,4,one-to-many
InsurancePlan_83b2b97326ea,Guarantee_7546c32638b6,guarantees,5,one-to-many
InsurancePlan_83b2b97326ea,Guarantee_1741ec6ed69c,guarantees,6,one-to-many
InsurancePlan_3bc6b85bacd5,Guarantee_56f71907a592,guarantees,0,one-to-many
InsurancePlan_3bc6b85bacd5,Guarantee_bdf21c00318d,guarantees,1,one-to-many
InsurancePlan_3bc6b85bacd5,Guarantee_845e59d360a1,guarantees,2,one-to-many
InsurancePlan_3bc6b85bacd5,Guarantee_ed3b24823928,guarantees,3,one-to-many
InsurancePlan_3bc6b85bacd5,Guarantee_b2161845103e,guarantees,4,one-to-many
InsurancePlan_3bc6b85bacd5,Guarantee_7546c32638b6,guarantees,5,one-to-many
InsurancePlan_3bc6b85bacd5,Guarantee_1741ec6ed69c,guarantees,6,one-to-many
InsurancePlan_3bc6b85bacd5,Guarantee_9dd028187542,guarantees,7,one-to-many
InsurancePlan_3bc6b85bacd5,Guarantee_dd96508880e4,guarantees,8,one-to-many
InsurancePlan_10bf85b8f6a2,Guarantee_56f71907a592,guarantees,0,one-to-many
InsurancePlan_10bf85b8f6a2,Guarantee_bdf21c00318d,guarantees,1,one-to-many
InsurancePlan_10bf85b8f6a2,Guarantee_845e59d360a1,guarantees,2,one-to-many
InsurancePlan_10bf85b8f6a2,Guarantee_ed3b24823928,guarantees,3,one-to-many
InsurancePlan_10bf85b8f6a2,Guarantee_b2161845103e,guarantees,4,one-to-many
InsurancePlan_10bf85b8f6a2,Guarantee_7546c32638b6,guarantees,5,one-to-many
InsurancePlan_10bf85b8f6a2,Guarantee_1741ec6ed69c,guarantees,6,one-to-many
InsurancePlan_10bf85b8f6a2,Guarantee_9dd028187542,guarantees,7,one-to-many
InsurancePlan_10bf85b8f6a2,Guarantee_dd96508880e4,guarantees,8,one-to-many
InsurancePlan_10bf85b8f6a2,Guarantee_0cee91f19218,guarantees,9,one-to-many
InsurancePlan_691398387dc8,Guarantee_56f71907a592,guarantees,0,one-to-many
InsurancePlan_691398387dc8,Guarantee_bdf21c00318d,guarantees,1,one-to-many
InsurancePlan_691398387dc8,Guarantee_845e59d360a1,guarantees,2,one-to-many
InsurancePlan_691398387dc8,Guarantee_ed3b24823928,guarantees,3,one-to-many
InsurancePlan_691398387dc8,Guarantee_b2161845103e,guarantees,4,one-to-many
InsurancePlan_691398387dc8,Guarantee_e23a82cdf5eb,guarantees,5,one-to-many
InsurancePlan_691398387dc8,Guarantee_1741ec6ed69c,guarantees,6,one-to-many
InsurancePlan_691398387dc8,Guarantee_9dd028187542,guarantees,7,one-to-many
InsurancePlan_691398387dc8,Guarantee_f0f33e3260eb,guarantees,8,one-to-many
InsurancePlan_691398387dc8,Guarantee_ba29e27739df,guarantees,9,one-to-many
InsurancePlan_691398387dc8,Guarantee_23baaeb8f69a,guarantees,10,one-to-many
